Creation Date,Accession Number,Artist,Credit Line,Display Title,Display Dimensions,Medium,Media & Support,Facility ,Current Location,Location Description,Street Address,Street Address 2,District Name,Geocoding Source,Geocoding Accuracy,Geocoding Accuracy Type,Latitude,Longitude,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
2016,2017.2.a,Wowhaus,Collection of the City and County of San Francisco,Garden Guardians,36 x 24 x 16 in.,Bronze,Bronze,Noe Valley Town Square,Public Display,,3861 24th St.,,District 8,Department Data,,,37.7483036,-122.4582243,POINT (-122.4582243 37.7483036),49,7,8,38
2015,2016.11.c.5,"Nagase, Masayuki",Collection of the City and County of San Francisco,Breath Between Sky and Ocean [Paver],43 x 26 x 2 in.,Granite,Granite,San Francisco General Hospital,City Agency,Acute Care Unit Roof Garden,1001 Portrero Avenue,,District 10,Department Data,,,37.755652,-122.4053538,POINT (-122.4053538 37.755652),54,3,9,20
2008,2008.10.b,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column B, row 1]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,2008.10.w,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column A, row 8]",21 1/2 x 75 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,2008.10.y,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column D, row 8]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,2008.10.h,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column A, row 3]",21 1/2 x 75 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,2008.10.d,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column G, row 1]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,2008.10.r,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column B, row 6]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,2008.10.s,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column E, row 6]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,2008.10.g,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column F, row 2]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2013,2013.6.a-b,"Powell, Eric",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Cayuga Playground,Cayuga Portal,"12' x 14’ x 7"" (Main);  9' x 4’ x 2"" (Alameny)",Painted steel,Painted steel,Cayuga Playground,Public Display,Park Entrances,"301 Naglee Ave, San Francisco, CA 94112",,District 11,Automation,1,parcel,37.714180999999996,-122.450085,POINT (-122.450085 37.714180999999996),66,9,1,28
2008,2008.10.u,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column D, row 7]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,2008.13.5,"Corliss, Troy",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Upper Noe Recreation Center,Noe Valley Natives,60 x 36 x 30 in.,Forged and fabricated steel,Forged and fabricated steel,Upper Noe Recreation Center,Public Display,Day St. West Entrance,"295 Castro St, San Francisco, CA 94114",,District 8,Automation,1,parcel,37.764306,-122.43502,POINT (-122.43502 37.764306),28,7,5,5
2008,2008.13.2,"Corliss, Troy",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Upper Noe Recreation Center,Noe Valley Natives,60 x 36 x 36 in.,Forged and fabricated steel,Forged and fabricated steel,Upper Noe Recreation Center,Public Display,30Th St. Entrance,"295 Castro St, San Francisco, CA 94114",,District 8,Automation,1,parcel,37.764306,-122.43502,POINT (-122.43502 37.764306),28,7,5,5
2008,2008.10.q,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column A, row 6]",21 1/2 x 75 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
1999,1999.22.1-2,"Asawa, Ruth",Collection of the City and County of San Francisco; Commissioned by the Redevelopment Agency,Origami Fountains,6 1/2' x 8' diam; 6 1/2' x 3 3/4' diam,Bronze,Bronze on bricks,Japantown,Public Display,Between Post And Sutter St.,"Buchanan St, San Francisco, CA 94115",,District 5,Automation,1,street_center,37.784667999999996,-122.42962,POINT (-122.42962 37.784667999999996),101,4,11,39
2008,2008.10.p,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column G, row 5]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
1969-1971,1967.82,"Voulkos, Peter",Collection of the City and County of San Francisco; Commissioned for the Hall of Justice,Untitled,360  x 480 in.,Bronze,Bronze,Hall of Justice,Public Display,West Corner Lawn,"7th St and Bryant St, San Francisco, CA 94103",,District 6,Automation,0.9400000000000001,intersection,37.77428,-122.404748,POINT (-122.404748 37.77428),33,1,10,34
2008,2008.10.z,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column F, row 8]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,2008.13.1,"Corliss, Troy",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Upper Noe Recreation Center,Noe Valley Natives,66 x 30 x 36 in.,Forged and fabricated steel,Forged and fabricated steel,Upper Noe Recreation Center,Public Display,30Th St. Entrance,"295 Castro St, San Francisco, CA 94114",,District 8,Automation,1,parcel,37.764306,-122.43502,POINT (-122.43502 37.764306),28,7,5,5
1999,1999.22.2,"Asawa, Ruth",Collection of the City and County of San Francisco; Commissioned by the Redevelopment Agency,Origami Fountain,78 x 44 x 44 in.,Bronze,Bronze on bricks,Japantown,Public Display,Between Post And Sutter St.,"Buchanan St, San Francisco, CA 94115",,District 5,Automation,1,street_center,37.784667999999996,-122.42962,POINT (-122.42962 37.784667999999996),101,4,11,39
2008,2008.10.c,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column D, row 1]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,2008.10.aa,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column G, row 8]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,2008.10.i,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column D, row 3]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,2008.10.k,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column C, row 4]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2004,2004.13.1,"Barr, Aileen",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the West Portal Playground,Secret Garden,14 x 420 in.,"Hand-carved glazed ceramic tile, thin set, grout","Hand-carved glazed ceramic tile, thin set, grout on exterior wall",West Portal Playground,Public Display,Clubhouse Exterior,"Lenox Way and Ulloa St, San Francisco, CA 94127",,District 7,Automation,0.8300000000000001,intersection,37.74241,-122.464993,POINT (-122.464993 37.74241),46,10,8,41
2008,2008.13.4,"Corliss, Troy",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Upper Noe Recreation Center,Noe Valley Natives,36 x 18 x 24 in.,Forged and fabricated steel,Forged and fabricated steel,Upper Noe Recreation Center,Public Display,Day St. East Entrance,"295 Castro St, San Francisco, CA 94114",,District 8,Automation,1,parcel,37.764306,-122.43502,POINT (-122.43502 37.764306),28,7,5,5
1993,1998.6,"Riley, Cheryl","Collection of the City and County of San Francisco; Commissioned by the San Francsisco Arts Commission for the Bayview Police Station, and funded by the NEA and Susie Tompkins Buell Foundation",On Target Podium,48  x 36  x 24 in.,"Maple, Clay, Glass, Bone, Horn, Ceramic Beads, Dutch gold leaf","Maple, Clay, Glass, Bone, Horn, Ceramic Beads, Dutch gold leaf",SFPD   Bayview Station,City Agency,Community Room,"345 Williams Ave, San Francisco, CA 94124",,District 10,Automation,1,parcel,37.729805999999996,-122.399247,POINT (-122.399247 37.729805999999996),86,2,9,1
1988,1988.2,"Almeida, Peter",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Coleridge Street Mini Park,Colloidal Pool,"36"" X 36""",Ceramic tile,Ceramic tile,Coleridge Mini Park,Public Display,Sidewalk,"Coleridge St and Esmeralda Ave, San Francisco, CA 94110",,District 9,Automation,0.9500000000000001,intersection,37.74406,-122.419491,POINT (-122.419491 37.74406),83,9,2,2
2008,2008.10.l,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column F, row 5]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,2008.13.6,"Corliss, Troy",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Upper Noe Recreation Center,Noe Valley Natives,15 x 7 x 6 in.,Forged and fabricated steel,Forged and fabricated steel,Upper Noe Recreation Center,Public Display,Day St. West Entrance,"295 Castro St, San Francisco, CA 94114",,District 8,Automation,1,parcel,37.764306,-122.43502,POINT (-122.43502 37.764306),28,7,5,5
2008,2008.10.n,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column D, row 5]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2004,2004.13.3,"Barr, Aileen",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the West Portal Playground,Secret Garden,60 x 48 in.,"Hand-carved glazed ceramic tile, thin set, grout","Hand-carved glazed ceramic tile, thin set, grout on concrete",West Portal Playground,Public Display,Clubhouse Exterior,"Lenox Way and Ulloa St, San Francisco, CA 94127",,District 7,Automation,0.8300000000000001,intersection,37.74241,-122.464993,POINT (-122.464993 37.74241),46,10,8,41
2008,2008.10.o,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column E, row 5]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,2008.10.f,"Wagner, Catherine",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,"Swimmer's Waves [column E, row 2]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel,Photographic print on porcelain enamel on concrete,Sava Pool,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737792999999996,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
