CreationFinishDate,Artist,MediumMaterial,MediumDetail,Facility,CreditLine,AccessionNumber,DisplayTitle,DisplayDimensions,Media&Support,CurrentLocation,LocationDescription,StreetAddress,StreetAddress2,DistrictName,GeocodingSource,GeocodingAccuracy,GeocodingAccuracyType,Latitude,Longitude,point,SFFindNeighborhoods,CurrentPoliceDistricts,CurrentSupervisorDistricts,AnalysisNeighborhoods
2016,Wowhaus,Bronze,Bronze,Noe Valley Town Square,Collection of the City and County of San Francisco,2017.2.a,Garden Guardians,36 x 24 x 16 in.,Bronze,Public Display,,3861 24th St.,,District 8,Department Data,,,37.7483036,-122.4582243,POINT (-122.4582243 37.7483036),49,7,8,38
2015,"Nagase, Masayuki",Granite,Granite,San Francisco General Hospital,Collection of the City and County of San Francisco,2016.11.c.5,Breath Between Sky and Ocean [Paver],43 x 26 x 2 in.,Granite,City Agency,Acute Care Unit Roof Garden,1001 Portrero Avenue,,District 10,Department Data,,,37.755652,-122.4053538,POINT (-122.4053538 37.755652),54,3,9,20
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.b,"Swimmer's Waves [column B, row 1]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.w,"Swimmer's Waves [column A, row 8]",21 1/2 x 75 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.y,"Swimmer's Waves [column D, row 8]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.h,"Swimmer's Waves [column A, row 3]",21 1/2 x 75 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.d,"Swimmer's Waves [column G, row 1]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.r,"Swimmer's Waves [column B, row 6]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.s,"Swimmer's Waves [column E, row 6]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
2008,"Wagner, Catherine",Porcelain,Photographic print on porcelain enamel,Sava Pool,Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Charlie Sava Pool,2008.10.g,"Swimmer's Waves [column F, row 2]",21 1/2 x 94 x 1 in.,Photographic print on porcelain enamel on concrete,Public Display,Natatorium,"2695 19th Ave, San Francisco, CA 94116",,District 4,Automation,1,parcel,37.737793,-122.475662,POINT (-122.475662 37.737792999999996),40,10,7,35
